date,num,num_cb,sum_mood,sum_mood_cb,mood_economy,mood_cb,mood_cb_without_mood_economy,indicator
2016-09-24,0,4,0.0,-0.5233842693269253,,-0.13084606733173132,,
2016-09-25,1,6,-0.29978079767897725,-1.386048845553887,-0.29978079767897725,-0.23100814092564784,0.06877265675332941,0.5171931641883324
2016-09-26,5,82,-1.3132426966913044,-15.127371107460931,-0.2626485393382609,-0.1844801354568406,0.07816840388142027,0.519542100970355
2016-09-27,1,6,-0.07108825817704201,-3.0877992229070514,-0.07108825817704201,-0.5146332038178419,-0.44354494564079994,0.3891137635898
2016-09-28,0,0,0.0,0.0,,,,
2016-09-29,3,49,-0.13918331637978554,-5.013739140631515,-0.04639443879326185,-0.10232120695166357,-0.05592676815840172,0.4860183079603996
2016-09-30,22,17,-5.32961287201033,-0.5071158472273964,-0.24225513054592407,-0.02983034395455273,0.21242478659137135,0.5531061966478429
2016-10-01,5,2,-0.9399989724624902,-0.39880768954753876,-0.18799979449249804,-0.19940384477376938,-0.011404050281271338,0.49714898742968217
2016-10-02,18,5,-1.2050472792761866,-0.37252856488339603,-0.06694707107089926,-0.07450571297667921,-0.007558641905779956,0.498110339523555
2016-10-03,27,14,-5.779114426579326,-1.844589906046167,-0.21404127505849357,-0.1317564218604405,0.08228485319805307,0.5205712132995133
2016-10-04,61,50,-9.924831585376523,-4.829525784269208,-0.16270215713732006,-0.09659051568538417,0.06611164145193589,0.516527910362984
2016-10-05,20,8,-2.865323852514848,-1.7736761127598584,-0.14326619262574242,-0.2217095140949823,-0.07844332146923988,0.48038916963269
2016-10-06,54,18,-12.459815322436043,-3.024807701818645,-0.23073732078585266,-0.16804487232325804,0.06269244846259461,0.5156731121156487
2016-10-07,6,7,-1.3958580698817968,-0.8965821578894975,-0.23264301164696613,-0.12808316541278536,0.10455984623418077,0.5261399615585451
2016-10-08,1,1,-0.11902482807636261,-0.038845548406243324,-0.11902482807636261,-0.038845548406243324,0.08017927967011929,0.5200448199175298
2016-10-09,2,0,-0.1815822795033455,0.0,-0.09079113975167274,,,
2016-10-10,8,5,-0.4410288416547701,-0.7585622789338231,-0.05512860520684626,-0.15171245578676462,-0.09658385057991836,0.4758540373550204
2016-10-11,20,16,-4.370695593883283,-3.262126311310567,-0.21853477969416418,-0.20388289445691044,0.014651885237253748,0.5036629713093135
2016-10-12,31,12,-6.32688347552903,-3.692258560564369,-0.20409301533964613,-0.30768821338036406,-0.10359519804071793,0.4741012004898205
2016-10-13,5,16,-1.260810711843078,-3.0282877009594813,-0.2521621423686156,-0.18926798130996758,0.06289416105864803,0.515723540264662
2016-10-14,5,0,-0.1310424480761867,0.0,-0.02620848961523734,,,
2016-10-15,0,0,0.0,0.0,,,,
2016-10-16,0,0,0.0,0.0,,,,
2016-10-17,20,0,-2.765542999812169,0.0,-0.13827714999060844,,,
2016-10-18,50,1,-8.676301311672432,0.004049327224493027,-0.17352602623344865,0.004049327224493027,0.17757535345794168,0.5443938383644854
2016-10-19,65,63,-11.770827529166127,-11.499059227440739,-0.18108965429486348,-0.1825247496419165,-0.0014350953470530226,0.49964122616323675
2016-10-20,25,19,-5.342765759094618,-2.184494515240658,-0.21371063036378474,-0.114973395538982,0.09873723482480273,0.5246843087062006
2016-10-21,0,7,0.0,-1.0638554319739342,,-0.15197934742484773,,
2016-10-22,0,12,0.0,-2.5602140685077757,,-0.21335117237564796,,
2016-10-23,1,3,0.057811520993709564,-0.21123398188501596,0.057811520993709564,-0.07041132729500532,-0.12822284828871489,0.4679442879278213
2016-10-24,33,0,-1.0874194342031842,0.0,-0.03295210406676316,,,
2016-10-25,3,0,-0.7884786014328711,0.0,-0.2628262004776237,,,
2016-10-26,0,9,0.0,-2.32044770475477,,-0.25782752275053,,
2016-10-27,12,11,0.15657749757519923,-2.010440870639286,0.01304812479793327,-0.18276735187629872,-0.195815476674232,0.451046130831442
2016-10-28,0,7,0.0,-0.7695628248911817,,-0.10993754641302596,,
2016-10-29,0,0,0.0,0.0,,,,
2016-10-30,2,5,0.005289722234010696,-0.4151811302435817,0.002644861117005348,-0.08303622604871634,-0.08568108716572169,0.4785797282085696
2016-10-31,17,15,-2.759182628011331,-3.853898011497222,-0.16230486047125475,-0.2569265340998148,-0.09462167362856005,0.47634458159286
2016-11-01,23,7,-5.087125070000184,0.05050415499135852,-0.22117935086957322,0.007214879284479788,0.228394230154053,0.5570985575385132
2016-11-02,6,0,-0.7228722940926673,0.0,-0.12047871568211121,,,
2016-11-03,24,3,-4.6359491807670565,-0.5475030457600951,-0.19316454919862736,-0.18250101525336504,0.010663533945262316,0.5026658834863156
2016-11-04,5,2,-0.5189742897637188,-0.7514224560000002,-0.10379485795274376,-0.3757112280000001,-0.27191637004725633,0.4320209074881859
2016-11-05,14,5,-1.5218353103846312,-0.8924991418607533,-0.1087025221703308,-0.17849982837215067,-0.06979730620181987,0.48255067344954505
2016-11-06,0,7,0.0,-2.1837187223136425,,-0.3119598174733775,,
2016-11-07,23,21,-2.868474959861487,-4.35693646222353,-0.12471630260267336,-0.20747316486778714,-0.08275686226511378,0.47931078443372155
2016-11-08,29,3,-4.216276308783563,-0.08057232014834881,-0.14538883823391596,-0.026857440049449604,0.11853139818446636,0.5296328495461166
2016-11-09,13,9,-0.5632014558650553,-0.2221794062643312,-0.04332318891269656,-0.0246866006960368,0.018636588216659762,0.5046591470541649
2016-11-10,7,1,-0.28192147240042686,-0.379565566778183,-0.04027449605720384,-0.379565566778183,-0.33929107072097914,0.41517723231975523
2016-11-11,5,2,-1.8129925195826218,-0.5076687037944794,-0.3625985039165244,-0.2538343518972397,0.10876415201928469,0.5271910380048211
2016-11-12,11,0,-1.8088948554359376,0.0,-0.1644449868578125,,,
2016-11-13,19,0,-3.8756953246920602,0.0,-0.20398396445747685,,,
2016-11-14,13,119,-2.888260862324387,-15.075780302591738,-0.2221739124864913,-0.12668722943354402,0.09548668305294727,0.5238716707632368
2016-11-15,9,65,-2.557916974881664,-8.816218312014826,-0.2842129972090738,-0.13563412787715115,0.14857886933192263,0.5371447173329806
2016-11-16,5,4,-0.8660172797535779,-0.8329313015565276,-0.17320345595071557,-0.2082328253891319,-0.035029369438416336,0.49124265764039593
2016-11-17,3,7,-0.488677975255996,-0.5770852600689977,-0.16289265841866532,-0.08244075143842824,0.08045190698023708,0.5201129767450593
2016-11-18,6,18,-0.6832451645750552,-2.6307883829140337,-0.11387419409584254,-0.14615491016189075,-0.03228071606604821,0.4919298209834879
2016-11-19,1,1,-0.02493610978126526,-0.3558511584997177,-0.02493610978126526,-0.3558511584997177,-0.33091504871845245,0.4172712378203869
2016-11-20,1,0,-0.3906332701444626,0.0,-0.3906332701444626,,,
2016-11-21,0,0,0.0,0.0,,,,
2016-11-22,0,3,0.0,-0.5959188584238291,,-0.1986396194746097,,
2016-11-23,13,1,0.1677517328207614,-0.022610697895288467,0.012903979447750876,-0.022610697895288467,-0.03551467734303934,0.4911213306642402
2016-11-24,24,8,-3.9421034540282562,-2.374614354223013,-0.16425431058451068,-0.2968267942778766,-0.13257248369336594,0.4668568790766585
2016-11-25,2,5,-0.03877095878124237,0.0755691658705473,-0.019385479390621185,0.01511383317410946,0.03449931256473064,0.5086248281411827
2016-11-26,0,11,0.0,-3.0091521204449236,,-0.27355928367681126,,
2016-11-27,1,0,-0.14516747929155827,0.0,-0.14516747929155827,,,
2016-11-28,13,7,-2.8635021110530943,-1.4189739022403955,-0.22026939315793032,-0.20271055746291364,0.017558835695016678,0.5043897089237541
2016-11-29,1,12,-0.15899167582392693,-1.5193791082128882,-0.15899167582392693,-0.12661492568440735,0.03237675013951957,0.5080941875348799
2016-11-30,0,4,0.0,-0.4447689102962613,,-0.11119222757406533,,
2016-12-01,9,0,-1.5379100961145014,0.0,-0.17087889956827793,,,
2016-12-02,7,0,-0.3047605473548174,0.0,-0.0435372210506882,,,
2016-12-03,20,58,-5.630142050024006,-8.76305392307404,-0.28150710250120026,-0.1510871366047248,0.13041996589647545,0.5326049914741189
