date,num_c,num_c_with,sum_mood,sum_mood_with,mood_economy,mood_cb,mood_cb_without_mood_economy,indicator
2014-10-19,0,0,0.0,0.0,,,,
2014-10-20,6,0,-1.3402796722948551,0.0,-0.22337994538247585,,,
2014-10-21,18,0,-2.8613152615289437,0.0,-0.1589619589738302,,,
2014-10-22,12,0,-1.102614391988027,0.0,-0.09188453266566891,,,
2014-10-23,17,0,-2.974303477909416,0.0,-0.1749590281123186,,,
2014-10-24,9,0,-0.041134070517728105,0.0,-0.004570452279747567,,,
2014-10-25,10,0,-1.6441385745274602,0.0,-0.164413857452746,,,
2014-10-26,1,0,-0.18590682558715343,0.0,-0.18590682558715343,,,
2014-10-27,12,1,-1.8179447730071843,-0.2639922425150871,-0.1514953977505987,-0.2639922425150871,-0.11249684476448843,0.47187578880887787
2014-10-28,23,0,-4.6328116071090335,0.0,-0.20142659161343623,,,
2014-10-29,4,0,-0.32043630443513393,0.0,-0.08010907610878348,,,
2014-10-30,25,0,-1.559837716340553,0.0,-0.06239350865362212,,,
2014-10-31,10,0,-1.3816370042040944,0.0,-0.13816370042040943,,,
2014-11-01,1,0,-0.15656527131795883,0.0,-0.15656527131795883,,,
2014-11-02,14,0,-0.6471603285463061,0.0,-0.04622573775330758,,,
2014-11-03,1,0,0.005312931054504588,0.0,0.005312931054504588,,,
2014-11-04,0,0,0.0,0.0,,,,
2014-11-05,35,4,-5.929214300820604,-0.8380399555899203,-0.16940612288058868,-0.20950998889748007,-0.04010386601689139,0.4899740334957772
2014-11-06,12,1,-2.411563818110153,-0.036697134375572205,-0.20096365150917941,-0.036697134375572205,0.1642665171336072,0.5410666292834018
2014-11-07,13,0,-1.5529809284489602,0.0,-0.11946007141915078,,,
2014-11-08,70,0,-9.131347292801365,0.0,-0.13044781846859094,,,
2014-11-09,3,0,-0.7997019868344069,0.0,-0.2665673289448023,,,
2014-11-10,41,0,-7.004769912848133,0.0,-0.1708480466548325,,,
2014-11-11,15,0,-5.063469772299868,0.0,-0.3375646514866579,,,
2014-11-12,16,0,-3.4986627949401736,0.0,-0.21866642468376085,,,
2014-11-13,4,0,-0.45203194953501225,0.0,-0.11300798738375306,,,
2014-11-14,4,0,0.41921340994304046,0.0,0.10480335248576012,,,
2014-11-15,3,0,-0.4252702461089939,0.0,-0.14175674870299795,,,
2014-11-16,6,0,-0.933150707744062,0.0,-0.15552511795734367,,,
2014-11-17,70,4,-14.230184047613875,-0.49572275928221643,-0.20328834353734107,-0.12393068982055411,0.07935765371678696,0.5198394134291967
2014-11-18,42,1,-6.632525494031142,-0.09305375628173351,-0.15791727366740815,-0.09305375628173351,0.06486351738567464,0.5162158793464187
2014-11-19,17,0,-1.5326784049830167,0.0,-0.0901575532342951,,,
2014-11-20,16,0,-3.526141983922571,0.0,-0.22038387399516068,,,
2014-11-21,83,0,-14.563225259378669,0.0,-0.1754605452937189,,,
2014-11-22,3,0,-1.344323843717575,0.0,-0.44810794790585834,,,
2014-11-23,50,0,-5.8714962638914585,0.0,-0.11742992527782917,,,
2014-11-24,7,0,-1.88654112117365,0.0,-0.2695058744533786,,,
2014-11-25,2,0,-0.372923051007092,0.0,-0.186461525503546,,,
2014-11-26,0,0,0.0,0.0,,,,
2014-11-27,5,0,-0.5699138920754194,0.0,-0.11398277841508389,,,
2014-11-28,9,0,-2.6354692956228973,0.0,-0.29282992173587746,,,
2014-11-29,2,0,-0.8138947486877441,0.0,-0.40694737434387207,,,
2014-11-30,3,0,-0.7166178897023201,0.0,-0.23887262990077338,,,
2014-12-01,5,0,-3.027408156078309,0.0,-0.6054816312156618,,,
2014-12-02,28,0,-3.698767448309809,0.0,-0.13209883743963605,,,
2014-12-03,14,0,-2.655076984621701,0.0,-0.1896483560444072,,,
2014-12-04,60,1,-10.262572845458635,0.3075622678734362,-0.17104288075764393,0.3075622678734362,0.47860514863108017,0.6196512871577701
2014-12-05,9,0,-0.9127182527445257,0.0,-0.10141313919383618,,,
2014-12-06,3,0,-0.8333176304586232,0.0,-0.2777725434862077,,,
2014-12-07,33,0,-1.8114401287020883,0.0,-0.05489212511218449,,,
2014-12-08,36,0,-6.955500889016548,0.0,-0.19320835802823744,,,
2014-12-09,3,0,-0.39131954724143725,0.0,-0.1304398490804791,,,
2014-12-10,13,0,-2.27287308468658,0.0,-0.17483639112973692,,,
2014-12-11,32,0,-4.269282877037767,0.0,-0.13341508990743023,,,
2014-12-12,24,4,-3.5880638614762574,-0.5691988058388233,-0.14950266089484407,-0.14229970145970583,0.00720295943513824,0.5018007398587846
2014-12-13,7,1,-0.9658891293220222,-0.047783926129341125,-0.13798416133171745,-0.047783926129341125,0.09020023520237633,0.5225500588005941
2014-12-14,3,0,-0.6286692847497761,0.0,-0.20955642824992537,,,
2014-12-15,38,0,-6.892179574162583,0.0,-0.18137314668848903,,,
2014-12-16,59,0,-5.941829327159212,0.0,-0.1007089716467663,,,
2014-12-17,58,5,-12.70034875170677,-1.5325791691429913,-0.21897153020184085,-0.30651583382859826,-0.08754430362675741,0.47811392409331066
2014-12-18,11,0,-0.43122218987264205,0.0,-0.039202017261149275,,,
2014-12-19,24,0,-2.0131654682190856,0.0,-0.08388189450912857,,,
2014-12-20,6,0,-1.0851157052820781,0.0,-0.180852617547013,,,
2014-12-21,1,0,-0.0007723585003986955,0.0,-0.0007723585003986955,,,
2014-12-22,5,0,-1.0517920036800206,0.0,-0.21035840073600412,,,
2014-12-23,41,0,-5.137261873926036,0.0,-0.12529907009575697,,,
2014-12-24,36,0,-5.166582035366446,0.0,-0.14351616764906794,,,
2014-12-25,13,0,-1.6736406635027379,0.0,-0.1287415895002106,,,
2014-12-26,7,0,-0.3669595061801374,0.0,-0.052422786597162485,,,
2014-12-27,1,0,-0.051770868711173534,0.0,-0.051770868711173534,,,
2014-12-28,1,0,-0.19330011308193207,0.0,-0.19330011308193207,,,
2014-12-29,0,0,0.0,0.0,,,,
2014-12-30,3,0,-0.3739534504711628,0.0,-0.12465115015705426,,,
2014-12-31,0,0,0.0,0.0,,,,
2015-01-01,0,0,0.0,0.0,,,,
2015-01-02,0,0,0.0,0.0,,,,
2015-01-03,0,0,0.0,0.0,,,,
2015-01-04,0,0,0.0,0.0,,,,
2015-01-05,0,0,0.0,0.0,,,,
2015-01-06,0,0,0.0,0.0,,,,
2015-01-07,0,0,0.0,0.0,,,,
2015-01-08,0,0,0.0,0.0,,,,
2015-01-09,0,0,0.0,0.0,,,,
2015-01-10,0,0,0.0,0.0,,,,
2015-01-11,12,0,-2.2232504547573626,0.0,-0.18527087122978023,,,
2015-01-12,28,0,-4.526224271394312,0.0,-0.16165086683551116,,,
2015-01-13,96,4,-14.282555777521338,-0.594877053052187,-0.14877662268251393,-0.14871926326304674,5.735941946719003e-05,0.5000143398548668
2015-01-14,52,1,-5.128191709067323,-0.1382749155163765,-0.09861907132821776,-0.1382749155163765,-0.039655844188158734,0.4900860389529603
2015-01-15,9,1,-1.1063869148492813,-0.14984505623579025,-0.12293187942769793,-0.14984505623579025,-0.026913176808092326,0.4932717057979769
2015-01-16,68,0,-3.8315685048437444,0.0,-0.05634659565946683,,,
2015-01-17,14,0,-1.7711528132203966,0.0,-0.12651091523002833,,,
2015-01-18,0,0,0.0,0.0,,,,
2015-01-19,13,0,-1.1624488603119971,0.0,-0.08941914310092286,,,
2015-01-20,14,0,-3.4759170087927487,0.0,-0.2482797863423392,,,
2015-01-21,42,0,-6.493436829754501,0.0,-0.15460563880367859,,,
2015-01-22,45,1,-4.495697734804708,-0.01595135498791933,-0.09990439410677128,-0.01595135498791933,0.08395303911885195,0.520988259779713
